City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mataura,92,NZ,1628449212,99,-46.1927,168.8643,35.47,3.33
Bredasdorp,100,ZA,1628449083,58,-34.5322,20.0403,58.32,13.8
Provideniya,100,RU,1628448853,81,64.3833,-173.3,45.39,15.93
Dikson,0,RU,1628449354,79,73.5069,80.5464,46.08,5.19
Englewood,0,US,1628449213,21,39.6478,-104.9878,93.4,3
Hobart,12,AU,1628448932,88,-42.8794,147.3294,42.66,1.99
Sabang,100,ID,1628449430,77,5.8933,95.3214,82.99,14.18
Ternate,100,ID,1628449133,81,0.8,127.4,79.12,1.43
Saint George,1,US,1628449348,16,37.1041,-113.5841,102.67,1.99
Oktyabr'skoye,7,RU,1628449431,94,43.0645,44.7417,68.14,4.47
Coulommiers,100,FR,1628449431,59,48.8145,3.085,68.38,1.01
Punta Arenas,75,CL,1628449026,70,-53.15,-70.9167,42.91,18.41
Rikitea,2,PF,1628449107,75,-23.1203,-134.9692,74.19,11.81
Cape Town,75,ZA,1628449011,90,-33.9258,18.4232,57.88,7
Port Alfred,100,ZA,1628449357,80,-33.5906,26.891,62.64,19.71
Nanortalik,27,GL,1628449432,84,60.1432,-45.2371,44.37,14.36
Thompson,90,CA,1628449067,99,55.7435,-97.8558,62.76,5.75
Alofi,100,NU,1628449128,88,-19.0595,-169.9187,71.49,9.22
New Norfolk,28,AU,1628449018,85,-42.7826,147.0587,42.3,3
Jamestown,52,US,1628449039,59,42.097,-79.2353,84.18,3
Nhulunbuy,75,AU,1628448943,83,-12.2333,136.7667,72.21,5.75
Albany,17,US,1628449223,57,42.6001,-73.9662,88.03,3.71
São Filipe,56,CV,1628449433,80,14.8961,-24.4956,79.63,7.61
Ushuaia,40,AR,1628449012,61,-54.8,-68.3,42.46,6.91
Busselton,100,AU,1628449080,78,-33.65,115.3333,55.09,24.29
Hermanus,100,ZA,1628449017,89,-34.4187,19.2345,58.8,20.62
Katsuura,100,JP,1628449181,89,35.1333,140.3,84.31,24.09
Nouadhibou,4,MR,1628449434,83,20.931,-17.0347,71.58,17.27
Belvedere Marittimo,3,IT,1628449434,51,39.6179,15.8617,86.11,3.47
Atuona,26,PF,1628449237,80,-9.8,-139.0333,77.32,19.55
Namatanai,98,PG,1628449435,82,-3.6667,152.4333,77.58,6.29
Airai,33,TL,1628449381,88,-8.9266,125.4092,54.16,1.43
Mitsamiouli,13,KM,1628449095,64,-11.3847,43.2844,77.23,7.05
